"filename", "language", "JSON", "JSON with Comments", "Markdown", "SCSS", "TypeScript", "HTML", "CSS", "comment", "blank", "total"
"\Users\avogath\Desktop\DA\DABubble\tsconfig.spec.json", "JSON", -13, 0, 0, 0, 0, 0, 0, -2, -1, -16
"d:\dev\developer-akademie\projects\dabubble\README.md", "Markdown", 0, 0, 14, 0, 0, 0, 0, 0, 14, 28
"d:\dev\developer-akademie\projects\dabubble\angular.json", "JSON", 105, 0, 0, 0, 0, 0, 0, 0, 1, 106
"d:\dev\developer-akademie\projects\dabubble\firebase.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\dev\developer-akademie\projects\dabubble\package-lock.json", "JSON", 15519, 0, 0, 0, 0, 0, 0, 0, 1, 15520
"d:\dev\developer-akademie\projects\dabubble\package.json", "JSON", 42, 0, 0, 0, 0, 0, 0, 0, 1, 43
"d:\dev\developer-akademie\projects\dabubble\public\assets\fonts\nunito.css", "CSS", 0, 0, 0, 0, 0, 0, 368, 46, 0, 414
"d:\dev\developer-akademie\projects\dabubble\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"d:\dev\developer-akademie\projects\dabubble\src\app\app.component.scss", "SCSS", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"d:\dev\developer-akademie\projects\dabubble\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 5, 30
"d:\dev\developer-akademie\projects\dabubble\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 5, 17
"d:\dev\developer-akademie\projects\dabubble\src\app\app.config.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 3, 25
"d:\dev\developer-akademie\projects\dabubble\src\app\app.routes.ts", "TypeScript", 0, 0, 0, 0, 58, 0, 0, 0, 2, 60
"d:\dev\developer-akademie\projects\dabubble\src\app\classes\register.class.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"d:\dev\developer-akademie\projects\dabubble\src\app\features\auth\components\login\login.component.html", "HTML", 0, 0, 0, 0, 0, 77, 0, 0, 10, 87
"d:\dev\developer-akademie\projects\dabubble\src\app\features\auth\components\login\login.component.scss", "SCSS", 0, 0, 0, 351, 0, 0, 0, 0, 38, 389
"d:\dev\developer-akademie\projects\dabubble\src\app\features\auth\components\login\login.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
